oi_normalised,solution_category
2i2c,Authoring tool
academic preservation trust (aptrust),Digital preservation service
arches heritage data management platform,Data management planning tool or service
archival resource key,"Standard, specification or protocol"
archivematica,Digital preservation system
archivesspace,Archive information management system
archivesspace,Discovery system
argos,Data management planning tool or service
arxiv,Repository service
atom,Archive information management system
avalon media system,"Digital library, collection or exhibit platform"
avalon media system,Repository software
biodiversity heritage library,"Digital library, collection or exhibit platform"
biodiversity heritage library,Open scholarly dataset
biodiversity heritage library,Repository service
biorxiv,Repository service
bitcurator environment,Digital preservation tool
blacklight,Discovery system
blacklight,Integrated Library System (ILS) or Library Services Platform (LSP)
brcris,Discovery system
brcris,Research profiling system
clockss,Digital preservation service
coar international repository directory (ird),Index or directory
collectiveaccess,Archive information management system
collectiveaccess,Digital asset management system
collectiveaccess,"Digital library, collection or exhibit platform"
core,Discovery system
counter code of practice,"Standard, specification or protocol"
creative commons licenses,"Standard, specification or protocol"
crossref,Open scholarly dataset
d4science infrastructure,Computing framework
d4science infrastructure,Informal scholarly communications
d4science infrastructure,Repository service
data citation corpus,Discovery system
data citation corpus,Open scholarly dataset
data stewardship wizard,Data management planning tool or service
database information system (dbis),Discovery system
database information system (dbis),Index or directory
datacite,Discovery system
datacite,Persistent identifier service
dataverse,Repository software
directory of open access books (doab),Discovery system
directory of open access books (doab),Index or directory
directory of open access journals (doaj),Discovery system
directory of open access journals (doaj),Index or directory
directory of open access journals (doaj),Open scholarly dataset
dmptool,Data management planning tool or service
dryad,Repository service
dspace,Repository software
duracloud,Digital preservation service
duracloud,Digital preservation system
duracloud,Digital preservation tool
electronic journals library (ezb),Discovery system
electronic journals library (ezb),Index or directory
eprints,Repository software
europe pmc,Digital preservation system
europe pmc,Discovery system
europe pmc,Repository service
fedora,Repository software
folio,Integrated Library System (ILS) or Library Services Platform (LSP)
fulcrum,Publishing system
galaxy,Computing framework
galaxy,Discovery system
geoserver,Geospatial data tool or platform
hyku,Repository software
hyrax,Repository software
icpsr,Archive information management system
icpsr,Data management planning tool or service
icpsr,Repository service
iiif,"Standard, specification or protocol"
impactu,Open scholarly dataset
impactu,Research profiling system
international generic sample number (igsn),Persistent identifier service
irods,Data management planning tool or service
irods,Digital preservation system
irods,Discovery system
islandora,Authoring tool
islandora,Digital asset management system
janeway,Publishing system
journal article tag suite,"Standard, specification or protocol"
knowledge commons,Informal scholarly communications
knowledge commons,Repository service
knowledge commons,Research profiling system
la referencia,Discovery system
manifold,Publishing system
medrxiv,Repository service
mendeley data,Repository service
metadata encoding and transmission standard (mets),"Standard, specification or protocol"
mirador,Annotations system
mirador,Media viewer/player
mukurtu,Archive information management system
mukurtu,Digital asset management system
mycore,Digital asset management system
mycore,"Digital library, collection or exhibit platform"
mycore,Repository software
numpy,Computing library
numpy,"Standard, specification or protocol"
oa report,Open access or subscription management tool
oa report,Research profiling system
oa switchboard,Open access or subscription management tool
oapen library,"Digital library, collection or exhibit platform"
oapen library,Discovery system
omeka,"Digital library, collection or exhibit platform"
open archives initiative object reuse and exchange (oai-ore),"Standard, specification or protocol"
open archives initiative protocol for metadata harvesting (oai-pmh),"Standard, specification or protocol"
open book collective,Open access or subscription management tool
open journal systems (ojs),Publishing system
open monograph press (omp),Publishing system
open policy finder (formerly sherpa services),Open access policy information compilation
openaire graph,Discovery system
openaire graph,Open scholarly dataset
openalex,Open scholarly dataset
openapc,Open scholarly dataset
opencitations,Open scholarly dataset
opencost,Open scholarly dataset
opencost,"Standard, specification or protocol"
openedition,Discovery system
openverse,Discovery system
osf (open science framework),Repository service
osf (open science framework),Repository software
oxford common file layout,"Standard, specification or protocol"
peer community in,Peer review system
premis,"Standard, specification or protocol"
prereview,Discovery system
prereview,Peer review system
pressbooks,Publishing system
public access submission system,Submissions system
public utility data liberation (pudl),Open scholarly dataset
public utility data liberation (pudl),Web archiving system
pundit,Annotations system
pyopensci,Research software community
re3data,Discovery system
re3data,Index or directory
redi,Discovery system
redi,Research profiling system
regensburger verbundklassifikation (rvk),"Standard, specification or protocol"
renku,Data management planning tool or service
renku,Discovery system
renku,Research software community
repec,Discovery system
repec,Index or directory
research organization registry (ror),Persistent identifier service
research resource identification initiative,Persistent identifier service
ropensci,Peer review system
ropensci,Research software community
rspace,Authoring tool
rspace,Digital asset management system
sciety,Discovery system
sciety,Peer review system
synapse,Annotations system
synapse,Repository service
thoth open metadata,Digital preservation service
thoth open metadata,Format conversion tool or service
thoth open metadata,Open scholarly dataset
tropy,Digital asset management system
viper,Digital preservation tool
vireo etd,Publishing system
vireo etd,Repository software
vireo etd,Submissions system
vivo,Discovery system
vivo,Research profiling system
vivo,"Standard, specification or protocol"
vufind,Discovery system
zenodo,Repository service
zotero,Annotations system
érudit,Discovery system
érudit,Publishing system
érudit,Repository software
